id,user_id,code_id,item_id,game_id,difficulty,win,created
293,1,5,27,4,3,0,1742337342085
292,1,5,300,4,3,1,1742337335709
290,1,5,22,4,3,0,1742336975917
291,1,5,376,4,3,0,1742336975917
288,1,5,210,4,3,0,1742336971141
289,1,5,352,4,3,0,1742336971141
287,1,5,89,4,3,1,1742336962933
285,2,5,197,4,3,0,1742336934006
286,2,5,116,4,3,0,1742336934006
284,2,5,386,4,3,1,1742336927133
283,2,5,264,4,3,1,1742336917315
282,1,5,256,4,3,0,1742336874097
281,1,5,399,4,3,0,1742336866530
280,2,5,416,4,3,1,1742336862820
279,2,5,10,4,3,0,1742336857466
278,2,5,323,4,3,1,1742336849067
277,2,5,203,4,3,0,1742336845226
276,2,5,264,4,3,1,1742336834784
275,2,5,377,4,3,1,1742336803155
273,2,5,85,4,3,0,1742336783384
274,2,5,56,4,3,0,1742336783384
271,1,5,191,4,3,0,1742336781489
272,1,5,257,4,3,0,1742336781489
270,1,5,198,4,3,1,1742336773994
269,1,5,170,4,3,1,1742336767457
268,1,5,413,4,3,0,1742336761569
267,1,5,307,4,3,1,1742336747473
265,2,5,82,4,3,0,1742336723455
266,2,5,335,4,3,0,1742336723455
263,2,5,118,4,3,0,1742336711598
264,2,5,11,4,3,0,1742336711598
261,2,5,93,4,3,0,1742336703517
262,2,5,329,4,3,0,1742336703517
259,2,5,194,4,3,0,1742336627650
260,2,5,46,4,3,0,1742336627650
258,2,5,401,4,3,0,1742336614216
257,2,5,367,4,2,0,1742336556400
256,2,5,13,4,2,1,1742336548711
255,2,5,106,4,2,1,1742336534244
254,2,5,59,4,2,1,1742336493031
253,2,5,272,4,2,1,1742336484469
252,2,5,76,4,2,1,1742336477516
251,2,5,294,4,2,1,1742336472667
250,1,5,72,4,2,1,1742336217445
249,1,5,159,4,2,1,1742336213453
248,1,5,265,4,2,0,1742336209965
247,1,5,57,4,2,1,1742336205421
246,1,5,129,4,3,1,1742336149508
245,1,5,105,4,3,1,1742336143860
244,1,5,320,4,3,0,1742336138596
243,1,5,214,4,1,1,1742336106939
241,1,5,273,4,1,0,1742336045625
242,1,5,62,4,1,0,1742336045625
239,1,5,327,4,1,0,1742336032265
240,1,5,61,4,1,0,1742336032265
