id,user_id,code_id,tag_id,item_id,game_id,difficulty,win,created
307,2,5,1275,136,4,3,0,1742567844685
304,2,5,1278,367,4,3,0,1742567842996
305,2,5,1278,54,4,3,0,1742567842996
302,1,5,1272,273,4,3,0,1742561086717
303,1,5,1309,273,4,3,0,1742561086717
301,1,5,1324,407,4,3,1,1742561066777
299,1,5,1037,416,4,3,0,1742561018259
300,1,5,1037,191,4,3,0,1742561018259
298,1,5,1062,69,4,3,1,1742561014032
296,1,5,1263,400,4,3,0,1742561009561
297,1,5,1263,372,4,3,0,1742561009561
294,1,5,1308,301,4,3,0,1742561000202
295,1,5,1308,1,4,3,0,1742561000202
293,1,5,1223,334,4,3,1,1742560966553
292,1,5,1303,315,4,3,1,1742560960050
291,1,5,1304,379,4,3,1,1742560951938
290,1,5,1213,40,4,3,1,1742560946911
288,1,5,1036,88,4,1,0,1742560919590
289,1,5,1213,88,4,1,0,1742560919590
287,1,5,1313,41,4,1,1,1742560910802
285,2,5,1198,266,4,3,0,1742499133743
286,2,5,1081,266,4,3,0,1742499133743
284,2,5,1226,320,4,3,1,1742499129061
282,2,5,1328,300,4,1,0,1742499010017
283,2,5,1328,302,4,1,0,1742499010017
281,2,5,1118,272,4,1,1,1742499008586
280,2,5,1167,241,4,1,1,1742498997442
278,2,5,1254,6,4,1,0,1742498971171
279,2,5,1254,293,4,1,0,1742498971171
277,2,5,1328,344,4,1,1,1742498969713
276,2,5,1323,367,4,1,1,1742498968096
274,2,5,1115,235,4,1,0,1742498948679
275,2,5,1115,53,4,1,0,1742498948679
272,2,5,1324,46,4,1,0,1742498946599
273,2,5,1324,204,4,1,0,1742498946599
271,2,5,1172,278,4,1,1,1742498945189
270,2,5,1085,111,4,1,1,1742498926581
269,2,5,1208,269,4,1,1,1742498912173
268,2,5,1328,133,4,1,1,1742498896053
267,2,5,1267,386,4,1,1,1742498879724
265,2,5,1157,34,4,1,0,1742498868594
266,2,5,1157,211,4,1,0,1742498868594
264,2,5,1051,30,4,1,1,1742498766456
262,2,5,1157,282,4,1,0,1742498747508
263,2,5,1081,282,4,1,0,1742498747508
261,-1,5,1227,198,4,3,1,1742491369285
260,-1,5,1163,352,4,3,1,1742491363368
258,-1,5,1234,237,4,3,0,1742491354271
259,-1,5,1234,338,4,3,0,1742491354271
257,-1,5,1095,370,4,3,1,1742491335862
255,-1,5,1167,227,4,3,0,1742490946795
256,-1,5,1117,227,4,3,0,1742490946795
254,-1,5,1322,122,4,3,1,1742490929141
252,-1,5,1252,198,4,3,0,1742490911319
253,-1,5,1252,279,4,3,0,1742490911319
251,-1,5,1254,27,4,3,1,1742490904620
249,-1,5,1247,388,4,2,0,1742489158711
250,-1,5,1198,388,4,2,0,1742489158711
248,-1,5,1202,15,4,2,1,1742489151045
247,-1,5,1141,286,4,2,1,1742489141798
246,-1,5,1222,60,4,2,1,1742489137240
244,-1,5,1209,334,4,2,0,1742489101705
245,-1,5,1280,334,4,2,0,1742489101705
243,-1,5,1265,167,4,2,1,1742489095325
242,-1,5,1303,56,4,2,1,1742489089857
241,1,5,1104,396,4,3,1,1742337710344
240,1,5,1199,221,4,3,1,1742337703723
238,1,5,1089,263,4,3,0,1742337699199
239,1,5,1089,159,4,3,0,1742337699199
237,1,5,1174,402,4,3,1,1742337690496
236,1,5,1097,66,4,3,1,1742337677707
234,1,5,1080,307,4,3,0,1742337654110
235,1,5,1080,415,4,3,0,1742337654110
232,1,5,1325,64,4,3,0,1742337625473
233,1,5,1157,64,4,3,0,1742337625473
230,1,5,1134,301,4,3,0,1742337619605
231,1,5,1202,301,4,3,0,1742337619605
229,1,5,1148,378,4,3,1,1742337594378
228,1,5,1190,250,4,3,1,1742337573347
227,1,5,1126,17,4,3,1,1742337566549
