id,old_code,new_code,old_tag,new_tag,description,created
237,3,4,566,732,INITIAL COPY,1723054874006
367,3,4,567,862,INITIAL COPY,1723054874006
265,3,4,568,760,INITIAL COPY,1723054903241
371,3,4,569,866,INITIAL COPY,1723054903241
295,3,4,570,790,INITIAL COPY,1723054924885
294,3,4,571,789,INITIAL COPY,1723054924885
395,3,4,572,890,INITIAL COPY,1723055039423
389,3,4,574,884,INITIAL COPY,1723055144229
387,3,4,575,882,INITIAL COPY,1723055144229
393,3,4,576,888,INITIAL COPY,1723055144229
390,3,4,577,885,INITIAL COPY,1723055144229
411,3,4,578,906,INITIAL COPY,1723055241633
410,3,4,579,905,INITIAL COPY,1723055241633
408,3,4,580,903,INITIAL COPY,1723055241633
406,3,4,581,901,INITIAL COPY,1723055241633
405,3,4,582,900,INITIAL COPY,1723055241633
280,3,4,587,775,INITIAL COPY,1723056022526
264,3,4,591,759,INITIAL COPY,1723066438461
278,3,4,593,773,INITIAL COPY,1723066659639
322,3,4,594,817,INITIAL COPY,1723066676424
342,3,4,595,837,INITIAL COPY,1728907133175
344,3,4,596,839,INITIAL COPY,1728907133175
334,3,4,597,829,INITIAL COPY,1728907214929
324,3,4,598,819,INITIAL COPY,1728907365843
336,3,4,599,831,INITIAL COPY,1728907365843
465,3,4,600,960,INITIAL COPY,1728907666234
492,3,4,601,987,INITIAL COPY,1728907666234
468,3,4,603,963,INITIAL COPY,1728907666234
473,3,4,604,968,INITIAL COPY,1728907666234
495,3,4,605,990,INITIAL COPY,1728907701376
496,3,4,606,991,INITIAL COPY,1728907701376
466,3,4,607,961,INITIAL COPY,1728907701376
464,3,4,608,959,INITIAL COPY,1728907701376
485,3,4,609,980,INITIAL COPY,1728907701376
479,3,4,611,974,INITIAL COPY,1728907741834
525,3,4,613,1029,INITIAL COPY,1728907839813
487,3,4,614,982,INITIAL COPY,1728907839813
523,3,4,615,1028,INITIAL COPY,1728907839813
524,3,4,616,1028,INITIAL COPY,1728907839813
522,3,4,617,1028,INITIAL COPY,1728907839813
526,3,4,618,1029,INITIAL COPY,1728907839813
488,3,4,619,983,INITIAL COPY,1728907839813
470,3,4,620,965,INITIAL COPY,1728907839813
489,3,4,621,984,INITIAL COPY,1728907839813
478,3,4,622,973,INITIAL COPY,1728907839813
474,3,4,623,969,INITIAL COPY,1728907839813
476,3,4,624,971,INITIAL COPY,1728907890697
493,3,4,625,988,INITIAL COPY,1728907890697
481,3,4,626,976,INITIAL COPY,1728907890697
467,3,4,627,962,INITIAL COPY,1728907890697
462,3,4,628,957,INITIAL COPY,1728907890697
484,3,4,629,979,INITIAL COPY,1728907890697
471,3,4,630,966,INITIAL COPY,1728907890697
463,3,4,631,958,INITIAL COPY,1729329662434
477,3,4,633,972,INITIAL COPY,1729329662434
491,3,4,634,986,INITIAL COPY,1729329662434
358,3,4,635,853,INITIAL COPY,1729330652832
357,3,4,636,852,INITIAL COPY,1729330703600
391,3,4,638,886,INITIAL COPY,1729335744766
511,3,4,639,1006,INITIAL COPY,1729337720729
290,3,4,640,785,INITIAL COPY,1729345840511
292,3,4,641,787,INITIAL COPY,1729345840511
293,3,4,642,788,INITIAL COPY,1729345840511
291,3,4,643,786,INITIAL COPY,1729345840511
433,3,4,644,928,INITIAL COPY,1729346191635
430,3,4,645,925,INITIAL COPY,1729346191635
434,3,4,646,929,INITIAL COPY,1729346191635
432,3,4,647,927,INITIAL COPY,1729346191635
429,3,4,648,924,INITIAL COPY,1729346191635
431,3,4,649,926,INITIAL COPY,1729346191635
437,3,4,650,932,INITIAL COPY,1729346257153
520,3,4,651,1015,INITIAL COPY,1729346257153
521,3,4,652,1015,INITIAL COPY,1729346257153
438,3,4,653,933,INITIAL COPY,1729346257153
439,3,4,654,934,INITIAL COPY,1729346257153
283,3,4,655,778,INITIAL COPY,1729346271906
425,3,4,656,920,INITIAL COPY,1729346322611
428,3,4,657,923,INITIAL COPY,1729346322611
426,3,4,658,921,INITIAL COPY,1729346322611
422,3,4,659,917,INITIAL COPY,1729346322611
421,3,4,660,916,INITIAL COPY,1729346322611
423,3,4,661,918,INITIAL COPY,1729346322611
427,3,4,662,922,INITIAL COPY,1729346322611
420,3,4,663,915,INITIAL COPY,1729346322611
424,3,4,664,919,INITIAL COPY,1729346322611
454,3,4,665,949,INITIAL COPY,1729346670258
455,3,4,666,950,INITIAL COPY,1729346695331
400,3,4,667,895,INITIAL COPY,1729347175250
396,3,4,668,891,INITIAL COPY,1729519529327
398,3,4,669,893,INITIAL COPY,1729519599467
300,3,4,671,795,INITIAL COPY,1729586147123
483,3,4,672,978,INITIAL COPY,1729598464513
328,3,4,673,823,INITIAL COPY,1729670099424
506,3,4,674,1001,INITIAL COPY,1729674317217
507,3,4,675,1002,INITIAL COPY,1729688050560
306,3,4,676,801,INITIAL COPY,1729688050560
307,3,4,677,802,INITIAL COPY,1729708779119
330,3,4,678,825,INITIAL COPY,1729710533716
335,3,4,680,830,INITIAL COPY,1729710892334
513,3,4,681,1008,INITIAL COPY,1729711116920
512,3,4,682,1007,INITIAL COPY,1729711116920
326,3,4,683,821,INITIAL COPY,1729711611863
348,3,4,684,843,INITIAL COPY,1729713354514
409,3,4,685,904,INITIAL COPY,1729713541766
407,3,4,686,902,INITIAL COPY,1729713903914
501,3,4,687,996,INITIAL COPY,1729926987595
502,3,4,688,997,INITIAL COPY,1729926987595
503,3,4,689,998,INITIAL COPY,1729926987595
505,3,4,690,1000,INITIAL COPY,1729926987595
337,3,4,691,832,INITIAL COPY,1729931882819
392,3,4,692,887,INITIAL COPY,1729932152039
376,3,4,693,871,INITIAL COPY,1729932200198
331,3,4,694,826,INITIAL COPY,1729932299870
296,3,4,695,791,INITIAL COPY,1729932369387
308,3,4,696,803,INITIAL COPY,1729933440774
356,3,4,697,851,INITIAL COPY,1729935186758
298,3,4,698,793,INITIAL COPY,1730566869302
347,3,4,699,842,INITIAL COPY,1731405506770
325,3,4,700,820,INITIAL COPY,1731405573556
327,3,4,701,822,INITIAL COPY,1731405573556
349,3,4,702,844,INITIAL COPY,1731405757929
350,3,4,703,845,INITIAL COPY,1731405871847
323,3,4,704,818,INITIAL COPY,1731405917758
232,3,4,705,727,INITIAL COPY,1731410146489
233,3,4,706,728,INITIAL COPY,1731410146489
338,3,4,707,833,INITIAL COPY,1731410639365
509,3,4,708,1004,INITIAL COPY,1731410672552
508,3,4,709,1003,INITIAL COPY,1731410672552
510,3,4,710,1005,INITIAL COPY,1731410672552
309,3,4,711,804,INITIAL COPY,1731411079857
304,3,4,712,799,INITIAL COPY,1731411317673
329,3,4,713,824,INITIAL COPY,1731446962617
449,3,4,714,944,INITIAL COPY,1731447145352
447,3,4,715,942,INITIAL COPY,1731447205303
445,3,4,716,940,INITIAL COPY,1731447205303
448,3,4,717,943,INITIAL COPY,1731447205303
444,3,4,718,939,INITIAL COPY,1731447205303
504,3,4,719,999,INITIAL COPY,1731447727936
516,3,4,720,1011,INITIAL COPY,1731701783762
515,3,4,721,1010,INITIAL COPY,1731701783762
517,3,4,722,1012,INITIAL COPY,1731701783762
446,3,4,723,941,INITIAL COPY,1731701867860
519,3,4,724,1014,INITIAL COPY,1731701981082
518,3,4,725,1013,INITIAL COPY,1731701981082
332,3,4,726,827,INITIAL COPY,1732212950817
576,4,5,727,1035,INITIAL COPY,1731410146489
577,4,5,728,1036,INITIAL COPY,1731410146489
578,4,5,729,1037,INITIAL COPY,1712517083773
579,4,5,730,1038,INITIAL COPY,1712517083773
580,4,5,731,1039,INITIAL COPY,1711805797474
707,4,5,732,1166,INITIAL COPY,1723054874006
591,4,5,743,1050,INITIAL COPY,1713168014001
594,4,5,744,1053,INITIAL COPY,1723054847105
595,4,5,745,1054,INITIAL COPY,1710236969585
596,4,5,746,1055,INITIAL COPY,1712517995392
597,4,5,747,1056,INITIAL COPY,1712518030110
598,4,5,748,1057,INITIAL COPY,1712518263573
599,4,5,749,1058,INITIAL COPY,1712518088500
600,4,5,750,1059,INITIAL COPY,1712518088500
601,4,5,751,1060,INITIAL COPY,1712518501719
602,4,5,752,1061,INITIAL COPY,1712518467870
603,4,5,753,1062,INITIAL COPY,1712518467870
604,4,5,754,1063,INITIAL COPY,1712518130882
605,4,5,755,1064,INITIAL COPY,1712518088500
606,4,5,756,1065,INITIAL COPY,1712518030110
607,4,5,757,1066,INITIAL COPY,1712518030110
608,4,5,758,1067,INITIAL COPY,1710962863491
609,4,5,759,1068,INITIAL COPY,1723066438461
592,4,5,760,1051,INITIAL COPY,1723054903241
804,4,5,767,1263,INITIAL COPY,1723054847105
616,4,5,768,1075,INITIAL COPY,1713095194985
617,4,5,769,1076,INITIAL COPY,1713095194985
618,4,5,770,1077,INITIAL COPY,1713095236272
619,4,5,771,1078,INITIAL COPY,1710966824438
620,4,5,772,1079,INITIAL COPY,1713167726338
623,4,5,773,1082,INITIAL COPY,1723066659639
624,4,5,774,1083,INITIAL COPY,1712517995392
627,4,5,775,1086,INITIAL COPY,1723056022526
626,4,5,776,1085,INITIAL COPY,1713081762411
628,4,5,777,1087,INITIAL COPY,1710169624238
629,4,5,778,1088,INITIAL COPY,1729346271906
630,4,5,779,1089,INITIAL COPY,1711012276403
631,4,5,780,1090,INITIAL COPY,1713108723165
632,4,5,781,1091,INITIAL COPY,1713194480497
633,4,5,782,1092,INITIAL COPY,1713088782652
634,4,5,783,1093,INITIAL COPY,1713097310471
635,4,5,784,1094,INITIAL COPY,1710171588976
636,4,5,785,1095,INITIAL COPY,1729345840511
637,4,5,786,1096,INITIAL COPY,1729345840511
638,4,5,787,1097,INITIAL COPY,1729345840511
639,4,5,788,1098,INITIAL COPY,1729345840511
621,4,5,789,1080,INITIAL COPY,1723054924885
622,4,5,790,1081,INITIAL COPY,1723054924885
640,4,5,791,1099,INITIAL COPY,1729932369387
641,4,5,792,1100,INITIAL COPY,1710169537955
642,4,5,793,1101,INITIAL COPY,1730566869302
643,4,5,794,1102,INITIAL COPY,1709565043425
644,4,5,795,1103,INITIAL COPY,1729586147123
645,4,5,796,1104,INITIAL COPY,1710169537955
646,4,5,797,1105,INITIAL COPY,1710236316125
647,4,5,798,1106,INITIAL COPY,1710952384138
666,4,5,799,1125,INITIAL COPY,1731411317673
648,4,5,800,1107,INITIAL COPY,1711014568101
649,4,5,801,1108,INITIAL COPY,1729688050560
650,4,5,802,1109,INITIAL COPY,1729708779119
651,4,5,803,1110,INITIAL COPY,1729933440774
652,4,5,804,1111,INITIAL COPY,1731411079857
654,4,5,806,1113,INITIAL COPY,1712518172709
701,4,5,807,1160,INITIAL COPY,1713091585129
708,4,5,808,1167,INITIAL COPY,1723054874006
655,4,5,809,1114,INITIAL COPY,1712519023308
656,4,5,810,1115,INITIAL COPY,1710236914216
657,4,5,811,1116,INITIAL COPY,1713095154286
658,4,5,812,1117,INITIAL COPY,1713095154286
659,4,5,813,1118,INITIAL COPY,1710235996661
660,4,5,814,1119,INITIAL COPY,1713095051545
661,4,5,815,1120,INITIAL COPY,1711111373766
805,4,5,816,1264,INITIAL COPY,1723054847105
678,4,5,817,1137,INITIAL COPY,1723066676424
575,4,5,818,1034,INITIAL COPY,1731405917758
662,4,5,819,1121,INITIAL COPY,1728907365843
663,4,5,820,1122,INITIAL COPY,1731405573556
664,4,5,821,1123,INITIAL COPY,1729711611863
665,4,5,822,1124,INITIAL COPY,1731405573556
667,4,5,823,1126,INITIAL COPY,1729670099424
668,4,5,824,1127,INITIAL COPY,1731446962617
669,4,5,825,1128,INITIAL COPY,1729710533716
